date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:57:20	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Jan%202022%2006:57:18%20GMT	https://presaletokenconfirmation.com/robots.txt		(from )
07:57:21	33215/33215	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20Nov%202021%2000:06:22%20GMT	https://presaletokenconfirmation.com/	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/index.html	(from )
07:57:22	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Jan%202022%2006:57:20%20GMT	https://presaletokenconfirmation.com/assets/images/favicon.png	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/images/favicon.png	(from https://presaletokenconfirmation.com/)
07:57:24	73029/73029	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Sep%202018%2010:29:00%20GMT	https://presaletokenconfirmation.com/assets/css/animate.css	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/css/animate.css	(from https://presaletokenconfirmation.com/)
07:57:27	161415/161415	---M-Z	200	added ('OK')	text/css	date:Mon,%2026%20Apr%202021%2009:04:52%20GMT	https://presaletokenconfirmation.com/assets/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/bootstrap/css/bootstrap.min.css	(from https://presaletokenconfirmation.com/)
07:57:29	31002/31002	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Sep%202018%2010:28:58%20GMT	https://presaletokenconfirmation.com/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/css/font-awesome.min.css	(from https://presaletokenconfirmation.com/)
07:57:33	51295/51295	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20Sep%202018%2010:28:58%20GMT	https://presaletokenconfirmation.com/assets/css/ionicons.min.css	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/css/ionicons.min.css	(from https://presaletokenconfirmation.com/)
07:57:35	15868/15868	---M-Z	200	added ('OK')	text/css	date:Tue,%2018%20Sep%202018%2012:29:02%20GMT	https://presaletokenconfirmation.com/assets/css/cryptocoins.css	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/css/cryptocoins.css	(from https://presaletokenconfirmation.com/)
07:57:36	3016/3016	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Jun%202018%2013:09:24%20GMT	https://presaletokenconfirmation.com/assets/owlcarousel/css/owl.carousel.min.css	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/owlcarousel/css/owl.carousel.min.css	(from https://presaletokenconfirmation.com/)
07:57:37	1018/1018	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Jun%202018%2013:09:24%20GMT	https://presaletokenconfirmation.com/assets/owlcarousel/css/owl.theme.default.min.css	C:/My%20Web%20Sites/presale/presaletokenconfirmation.com/assets/owlcarousel/css/owl.theme.default.min.css	(from https://presaletokenconfirmation.com/)
